show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,full_text,clean_text
s154,TV Show,Kid-E-Cats,,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.","TV Show. Kid-E-Cats. nan. Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder. Russia. September 1, 2021. 2 Seasons. 2 Seasons. Kids' TV. Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.",tv show kid e cat lori gardner kate bristol billy bob thompson marc thompson erica schroeder russia september season season kids tv cookie pudding candy kitten sibling whose favorite thing sweet treat let curiosity lead adventure learn
s155,TV Show,Kuroko's Basketball,,"Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,"September 1, 2021",2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.","TV Show. Kuroko's Basketball. nan. Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya. Japan. September 1, 2021. 3 Seasons. 3 Seasons. Anime Series, International TV Shows, Teen TV Shows. Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.",tv show kurokos basketball kensho ono yuki ono chiwa saito yoshimasa hosoya hirofumi nojima kenji hamada takuya eguchi soichiro hoshi tatsuhisa suzuki go inoue daisuke ono ryohei kimura junichi suwabe kazuya nakai fumiko orikasa kenichi suzumura kisho taniyama hiroshi kamiya japan september season season anime series international tv show teen tv show five middle school basketball star go separate high school tetsuya kuroko seirin high make play glory
s156,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States","September 1, 2021",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.","Movie. Labyrinth. Jim Henson. David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser. United Kingdom, United States. September 1, 2021. 101 min. 101 min. Action & Adventure, Children & Family Movies, Cult Movies. In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",movie labyrinth jim henson david bowie jennifer connelly frank oz kevin clash anthony asbury dave goelz brian henson ron mueck karen prell shari weiser united kingdom united states september min min action adventure child family movie cult movie jim hensons fantasy teen sarah embark life alter quest rescue little brother clutch treacherous goblin
s157,Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,"September 1, 2021",2010,PG,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.","Movie. Letters to Juliet. Gary Winick. Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan. United States. September 1, 2021. 105 min. 105 min. Comedies, Dramas, Romantic Movies. By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",movie letter juliet gary winick amanda seyfrie christopher egan gael garcia bernal vanessa redgrave franco nero luisa ranieri marina massironi milena vukotic marcia debonis luisa de santis lidia biondi giordano formenti chris egan united states september min min comedy drama romantic movie respond letter address shakespeare tragic heroine juliet capulet american woman verona italy lead search romance
s158,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,"September 1, 2021",2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.","Movie. Level 16. Danishka Esterhazy. Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira. Canada. September 1, 2021. 102 min. 102 min. Sci-Fi & Fantasy, Thrillers. In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",movie level danishka esterhazy katie douglas celina martin peter outerbridge sara canning alexis whelan amalia williamson josette halpert kiana madeira canada september min min sci fi fantasy thriller bleak academy teach girl virtue passivity two student uncover ghastly purpose behind training resolve escape
s159,Movie,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",United States,"September 1, 2021",2003,PG-13,101 min,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,"Movie. Love Don't Cost a Thing. Troy Byer. Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman. United States. September 1, 2021. 101 min. 101 min. Comedies, Romantic Movies. A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.",movie love not cost thing troy byer nick cannon christina milian kenan thompson kal penn steve harvey al thompson ashley monique clark elimu nelson nichole robinson melissa schuman united states september min min comedy romantic movie nerdy teen try make cool association convince popular cheerleader pose girlfriend
s160,Movie,Love in a Puff,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Isabel Chan, Cheung Tat-ming, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",Hong Kong,"September 1, 2021",2010,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.","Movie. Love in a Puff. Pang Ho-cheung. Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Isabel Chan, Cheung Tat-ming, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok. Hong Kong. September 1, 2021. 103 min. 103 min. Comedies, Dramas, International Movies. When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",movie love puff pang ho cheung miriam chin wah yeung shawn yue singh hartihan bitto isabel chan cheung tat ming matt chow chui tien queenie chu charmaine fong vincent kok hong kong september min min comedy drama international movie hong kong government enact ban smoke cigarette indoor new law drive hard core smoker outside facilitate unlikely connection
s161,TV Show,Major Dad,,"Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher",United States,"September 1, 2021",1992,TV-PG,4 Seasons,TV Comedies,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.","TV Show. Major Dad. nan. Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher. United States. September 1, 2021. 4 Seasons. 4 Seasons. TV Comedies. When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",tv show major dad gerald mcraney shanna reed nicole dubuc chelsea hertford marisa ryan matt mulhern beverly archer jon cypher united states september season season tv comedy marry journalist become stepdad daughter u marine find orderly life no long entirely command
s162,Movie,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",United States,"September 1, 2021",1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.","Movie. Mars Attacks!. Tim Burton. Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman. United States. September 1, 2021. 106 min. 106 min. Comedies, Cult Movies, Sci-Fi & Fantasy. As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",movie mar attack tim burton jack nicholson glenn close annette bening pierce brosnan danny devito martin short sarah jessica parker michael j fox rod steiger tom jones lukas haas natalie portman united states september min min comedy cult movie sci fi fantasy fly saucer head earth president united states prepare welcome alien visitor soon learn not come peace
s163,Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong","September 1, 2021",2017,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.","Movie. Marshall. Reginald Hudlin. Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss. United States, China, Hong Kong. September 1, 2021. 118 min. 118 min. Dramas. This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",movie marshall reginald hudlin chadwick boseman josh gad kate hudson sterling k brown dan stevens james cromwell keesha sharp roger guenveur smith derrick baskin barrett doss united states china hong kong september min min dramas biopic thurgood marshall first black u supreme court justice center pivotal work sensational case naacp lawyer
s164,Movie,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",United States,"September 1, 2021",2003,R,86 min,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.","Movie. My Boss's Daughter. David Zucker. Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon. United States. September 1, 2021. 86 min. 86 min. Comedies, Romantic Movies. A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",movie bosss daughter david zucker ashton kutcher tara reid jeffrey tambor andy richter michael madsen jon abrahams david koechner carmen electra kenan thompson terence stamp molly shannon united states september min min comedy romantic movie young man house sit mean boss hope use opportunity win heart bosss daughter long crush
s165,Movie,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,"September 1, 2021",1999,PG-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,"Movie. Mystery Men. Kinka Usher. Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits. United States. September 1, 2021. 121 min. 121 min. Action & Adventure, Comedies. A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.",movie mystery man kinka usher ben stiller hank azaria william h macy janeane garofalo kel mitchell paul reubens wes studi greg kinnear geoffrey rush lena olin eddie izzard artie lange pra claire forlani tom wait united states september min min action adventure comedy team far super hero try earn respect spring action brave dash captain amazing disappear
s166,TV Show,Oldsters,,"Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer",,"September 1, 2021",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.,"TV Show. Oldsters. nan. Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer. nan. September 1, 2021. 1 Season. 1 Season. Crime TV Shows, International TV Shows, Spanish-Language TV Shows. Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.",tv show oldster patricio contrera alejandro goic sergio hernandez mariana loyola ruz alejandro trejo daniel alcaino cuevas nicolas poblete susana hidalgo gloria munchmeyer september season season crime tv show international tv show spanish language tv show three friend step retirement become band outlaw whose mission help let justice system
s167,Movie,Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States","September 1, 2021",1984,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,"Movie. Once Upon a Time in America. Sergio Leone. Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden. Italy, United States. September 1, 2021. 229 min. 229 min. Classic Movies, Dramas. Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.",movie upon time america sergio leone robert de niro james woods elizabeth mcgovern treat williams tuesday weld burt young joe pesci danny aiello william forsythe james hayden italy united states september min min classic movie drama director sergio leone sprawl crime epic follow group jewish mobster rise rank organized crime new york city
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack","United States, Canada","September 1, 2021",2008,PG,76 min,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,"Movie. Open Season 2. Matthew O'Callaghan, Todd Wilderman. Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack. United States, Canada. September 1, 2021. 76 min. 76 min. Children & Family Movies, Comedies. Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.",movie open season matthew ocallaghan todd wilderman joel mchale mike epps jane krakowski billy connolly crispin glover steve schirripa georgia engel diedrich bader cody cameron fred stoller olivia hack united states canada september min min children family movie comedy elliot buck forest dwelling cohort must rescue dachshund pal spoiled pet bend return domesticity
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,"September 1, 2021",2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,"Movie. Osmosis Jones. Bobby Farrelly, Peter Farrelly. Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein. United States. September 1, 2021. 95 min. 95 min. Action & Adventure, Children & Family Movies, Comedies. Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.",movie osmosis jones bobby farrelly peter farrelly chris rock laurence fishburne david hyde pierce brandy norwood william shatner ron howard kid rock ben stein united states september min min action adventure child family movie comedy peter bobby farrelly outdo partially animate tale shape year old man host various organism
s170,Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",United States,"September 1, 2021",2006,PG-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.","Movie. Poseidon. Wolfgang Petersen. Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez. United States. September 1, 2021. 98 min. 98 min. Action & Adventure, Dramas. A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",movie poseidon wolfgang petersen josh lucas kurt russell jacinda barrett richard dreyfuss emmy rossum mia maestro mike vogel kevin dillon freddy rodriguez united states september min min action adventure drama tidal wave spell disaster ship new year eve reveler capsize mammoth vessel send passenger battle survival
s171,Movie,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",United States,"September 1, 2021",1997,R,89 min,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.","Movie. Rhyme & Reason. Peter Spirer. Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave. United States. September 1, 2021. 89 min. 89 min. Documentaries, Music & Musicals. The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",movie rhyme reason peter spirer hort b real kurtis blow da brat grandmaster caz sean p diddy comb chuck desiree densiti dr dre e mc eiht heavy lauryn hill ice wyclef jean ras kass krs one l v mack craig mack method man keith murray nasir nas jones notorious b g master p q tip raekwon redman senen reye busta rhyme rza dj scratch erick sermon tupac shakur adario strange suave united states september min min documentary music musical world culture rap song topic race violence police family sex examine hip hop performer coast
s172,Movie,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",United States,"September 1, 2021",2017,PG-13,120 min,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,"Movie. Same Kind of Different as Me. Michael Carney. Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt. United States. September 1, 2021. 120 min. 120 min. Dramas, Faith & Spirituality. A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.",movie kind different I michael carney greg kinnear renee zellweger djimon hounsou jon voight olivia holt united states september min min drama faith spirituality wealthy couple whose marriage rock befriend local homeless man change perspective inspire true story
s173,Movie,School of Rock,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green","United States, Germany","September 1, 2021",2003,PG-13,110 min,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.","Movie. School of Rock. Richard Linklater. Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green. United States, Germany. September 1, 2021. 110 min. 110 min. Comedies, Music & Musicals. Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",movie school rock richard linklater jack black joan cusack mike white sarah silverman lee wilkof kate mcgregor stewart adam pascal suzzanne douglas miranda cosgrove kevin alexander clark joey gaydos jr robert tsai veronica afflerbach jordan claire green united states germany september min min comedy music musical musician dewey finn get job fourth grade substitute teacher secretly begin teach student finer point rock n roll
s174,Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,"September 1, 2021",2015,PG-13,83 min,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.","Movie. Snervous Tyler Oakley. Amy Rice. Tyler Oakley. United States. September 1, 2021. 83 min. 83 min. Documentaries, LGBTQ Movies. The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",movie snervous tyler oakley amy rice tyler oakley united states september min min documentary lgbtq movie inspiring internet star lgbt advocate share intimate view life relationship international slumber party tour
s175,Movie,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",United States,"September 1, 2021",2003,R,121 min,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.","Movie. Tears of the Sun. Antoine Fuqua. Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie. United States. September 1, 2021. 121 min. 121 min. Action & Adventure, Dramas. A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",movie tear sun antoine fuqua bruce willis monica bellucci cole hauser eamonn walker johnny messner nick chinlund charles ingram paul francis chad smith tom skerritt malick bowen awaovieyi agie united states september min min action adventure drama navy seal send war tear african jungle rescue doctor realize must also save refugee physician care
s176,Movie,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,"September 1, 2021",1980,R,105 min,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.","Movie. The Blue Lagoon. Randal Kleiser. Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio. United States. September 1, 2021. 105 min. 105 min. Dramas, Romantic Movies. Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",movie blue lagoon randal kleiser brooke shields christopher atkins leo mckern william daniels elva josephson glenn kohan alan hopgood gus mercurio united states september min min drama romantic movie two shipwreck child strand year deserted island fall love teenager attempt forge life isolated paradise
s177,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",United States,"September 1, 2021",1986,PG-13,94 min,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,"Movie. The Golden Child. Michael Ritchie. Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee. United States. September 1, 2021. 94 min. 94 min. Action & Adventure, Comedies. A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.",movie golden child michael ritchie eddie murphy j l reate charles dance charlotte lewis victor wong randall tex cobb james hong shakti chen tau logo tiger chung lee united states september min min action adventure comedy fast talk l social worker go series trap terror find kidnap tibetan child mystical power
s178,Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States","September 1, 2021",1961,TV-14,156 min,"Action & Adventure, Classic Movies","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.","Movie. The Guns of Navarone. J. Lee Thompson. Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris. United Kingdom, United States. September 1, 2021. 156 min. 156 min. Action & Adventure, Classic Movies. During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",movie gun navarone j lee thompson gregory peck david niven anthony quinn stanley baker anthony quayle james darren irene papa gia scala james robertson justice richard harris united kingdom united states september min min action adventure classic movie world war ii british force launch attack design take massive nazi cannon guard critical sea channel
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",United States,"September 1, 2021",2014,R,112 min,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,"Movie. The Interview. Evan Goldberg, Seth Rogen. James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi. United States. September 1, 2021. 112 min. 112 min. Action & Adventure, Comedies. Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.",movie interview evan goldberg seth rogen james franco seth rogen lizzy caplan randall park diana bang timothy simon reese alexander james yi united states september min min action adventure comedy seth rogen james franco star provocative comedy two journalist recruit cia arrange interview kim jong un
